Index,text_comments
29,this is literally the third time you ve done this and faced backlash   so why should anyone believe you are being genuine now  if you truly are sorry do some work on yourself and try to do something for the running community that s not motivated by your own fame  until then you are just expressing that you are sorry you got caught 
30,the fact that this video didn t have a single ad
30,when he started talking about his mother legit his tone went aggressive like yes sis defend your mom 
30,and the comments arent off james   you re a king 
30,the way he was treated by the adults was not ok 
30,the fact that she cared more about your loyalty to her brand rather than your safety at an event  
31,you handled this well i know we don t know each other but i m happy you handled it like this
31,respect bro  i hope you find your peace with your family
31,i like how you directly addressed his points and took the blame for some stuff  mad respect bro
31,i feel like jj really hides his intelligence very well until he wants to show it
31,when he said   stop saying my parents and say our parents im a part of this family  bro my eyes started watering
32,unless you wrote cotton fibers on the ingredients list      they re contaminated  that s the definition of the word 
32,i m here for the explanation for the messy lipsticks i didn t buy
32,i encourage everyone to watch the video about jaclyn s lipsticks by kenna  she is a biochemist and explains the inconsistencies in jaclyn s explanation 
32,guys her lipstick is perfectly safe it only has plastic metal hairs and unidentifiable hard black objects  ignore the odd texture and unpleasant odors clumpy texture and an other alarming issues  it s totally safe    
32,why does she keep saying how her ingredients are fda approved and safe to use  hun people never had any problems with the ingredients they have issues with the contamination  also good  fda approved ingredients expire at some point which is the other issue people have  recall     
33,this year is not your year huh 
33,if a cop caught you going nearly  in a  you would be going to jail lmao
33,t s definitely the most reckless thing you ve done but in the last month or so you continue to damage your reputation  first the wallpaper app then the speeding now you re doing  minute sponsor videos you once said you d never do   its digging into your overall credibility
33,lots of people will remain unhappy but this is a good apology  you did a very dumb thing  we ve all done something stupid before  you recognize it s dumb and you aim to be do better  that s way more than most people will do  thanks for being straight up and addressing it 
33,good decision   respect for owning up to it so quickly
34,i do not want a refund    i loved the documentary  i have enjoyed my journey of watching you two on you quest for  countries  don t stop now   you have  countries left to see
34,it did not remotely hurt my feelings  you guys work so hard and i didn t have a problem paying to watch  keep doing what you re doing 
34,can t believe you had  emails complaining about   charge for something you worked hard on for weeks  what is wrong with people  keep smiling  xx
34,honestly stop  i ve been following you through your entire journey  how on earth could anyone get angry    you make a lot of content  you should get paid for your work  of course you should charge for us watching a full length documentary    no apology please   
34,i happily paid for the video and wished i had the budget to pay more than i did  it was incredible  i enjoyed every second  y all have touched so many lives and inspired so much travel and adventure  i know kara poured her heart into it and i m so sorry it wasn t met with everything but love  i loved seeing how you got started and they way you recapped all the countries  can t wait to see what s next for y all 
35,yes this is how you apologize  no crying and she s admitting her wrong without bringing others in it  i love this 
35,i never was a fan of her or her miranda character  but to be completely unbiased this was the perfect apology  wow other youtubers need to take notes on how to make genuine and mature apologies    
35,she has grown backwards  she is addressing it now with disney ukelele song 
35,im glad she stuck up for herself without pointing anyone out  she is so mature and doesn t deserve to be hated on 
35,colleen is literally the most mature person talking abt her mistakes tho she is amazing and we love you colleen   
36,this episode of black mirror doesn t sit right with me    poor acting i guess
36,this was a  minute run on sentence 
36,someone said you re not this literate
36,it sounds like the fine print of a prescription drug commercial 
36,this video feels like a teacher giving the class the talk after everyone treated the sub bad the day before 
37,this is the literal definition of  i ve won but at what cost  
37,not a single dark souls joke reference was made verdict  this man is serious
37,no dark souls reference i fully believe every word you say
37,how tf people expect him to groom a kid when he cant even groom his hair
37,the first piece of content colossal has created in a year and it s reading out fat furry roleplay
38,for everyone saying dom should make an apology that probably wouldn t be appropriate  he needs to go to jail 
38,imagine outta no where he says this video wouldn t be possible without seatgeek
38,i love how we all went and watched all the yt apologies after we watched colleen s 
38,dom doesn t need to do an apology he needs to be in jail 
38,you know it s an apology video when they re adjusting the camera 
39,thing is there s a lot of comments here saying we forgive you will but to be honest it isn t for us to forgive him  it s up to chris  he can only make that call 
39,can t believe will was able to nearly perfectly pull off the youtuber apology video after only  months of training 
39,will could really use that rewind button right about now 
39,will has undergone his full youtuber arc which is the infamous apology video 
39, she had nothing to do with this   she s literally the reason for this on multiple fronts 
40,the liver king is speedrunning the influencer lifestyle  barely a year in the game and he s already making an apology video lmao
40,the fact that people believed he was natty at all is mind boggling
40,i lied because people are killing themselves is a wild take
40,i had major depression  and attempted suicide many times   but i was saved when a millionaire with an unachievable physique lied about not abusing steroids   now i m cured of depression 
40,new ancestral tenents      be a liar    mislead your audience    double down on lies whenever asked because     involved    when found out try scape goating men s mental health    step  only necessary if exposed 
41,idubbbz is the only person on the internet who didn t get canceled for being racist and got canceled for not being racist 
